[CLIENT-0-SCAFFOLD] Run started at: 2026-03-23 09:37:01
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] FeCoGraph SCAFFOLD Client 0
[CLIENT-0-SCAFFOLD] Device: cpu
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] Train: 25,353 | Test: 59,159 | Labeled: 7604
[CLIENT-0-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-0-SCAFFOLD] Connected and registered.
[CLIENT-0-SCAFFOLD]   Round 37 | Loss=6.5369 | Acc(G)=0.9208 | Acc(P)=0.9973 | F1(P)=0.8887 | Time=7.2s
[CLIENT-0-SCAFFOLD]   Round 38 | Loss=6.5406 | Acc(G)=0.9200 | Acc(P)=0.9899 | F1(P)=0.7399 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 39 | Loss=6.5383 | Acc(G)=0.9193 | Acc(P)=0.9946 | F1(P)=0.8179 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 40 | Loss=6.5369 | Acc(G)=0.9269 | Acc(P)=0.9959 | F1(P)=0.8411 | Time=6.6s
[CLIENT-0-SCAFFOLD]   Round 41 | Loss=6.5340 | Acc(G)=0.9241 | Acc(P)=0.9948 | F1(P)=0.8209 | Time=7.3s
[CLIENT-0-SCAFFOLD]   Round 42 | Loss=6.5380 | Acc(G)=0.9243 | Acc(P)=0.9950 | F1(P)=0.8178 | Time=7.5s
[CLIENT-0-SCAFFOLD]   Round 43 | Loss=6.5418 | Acc(G)=0.9233 | Acc(P)=0.9977 | F1(P)=0.8927 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 44 | Loss=6.5327 | Acc(G)=0.9255 | Acc(P)=0.9941 | F1(P)=0.7985 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 45 | Loss=6.5384 | Acc(G)=0.9248 | Acc(P)=0.9953 | F1(P)=0.8238 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 46 | Loss=6.5343 | Acc(G)=0.9260 | Acc(P)=0.9981 | F1(P)=0.9151 | Time=7.2s
[CLIENT-0-SCAFFOLD]   Round 47 | Loss=6.5335 | Acc(G)=0.9266 | Acc(P)=0.9944 | F1(P)=0.8035 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 48 | Loss=6.5386 | Acc(G)=0.9269 | Acc(P)=0.9954 | F1(P)=0.8275 | Time=7.2s
[CLIENT-0-SCAFFOLD]   Round 49 | Loss=6.5344 | Acc(G)=0.9164 | Acc(P)=0.9952 | F1(P)=0.8204 | Time=7.1s
