[CLIENT-1-SCAFFOLD] Run started at: 2026-03-23 09:37:11
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 1 | Loss=6.4932 | Acc(G)=0.3368 | Acc(P)=0.8042 | F1(P)=0.7136 | Time=4.5s
[CLIENT-1-SCAFFOLD]   Round 2 | Loss=6.4897 | Acc(G)=0.3374 | Acc(P)=0.9020 | F1(P)=0.8793 | Time=3.8s
[CLIENT-1-SCAFFOLD]   Round 3 | Loss=6.4968 | Acc(G)=0.3378 | Acc(P)=0.9030 | F1(P)=0.8837 | Time=3.3s
[CLIENT-1-SCAFFOLD]   Round 4 | Loss=6.4902 | Acc(G)=0.3371 | Acc(P)=0.9308 | F1(P)=0.9151 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 5 | Loss=6.4946 | Acc(G)=0.3377 | Acc(P)=0.9308 | F1(P)=0.9151 | Time=4.1s
[CLIENT-1-SCAFFOLD]   Round 6 | Loss=6.4843 | Acc(G)=0.3379 | Acc(P)=0.9304 | F1(P)=0.9146 | Time=3.9s
[CLIENT-1-SCAFFOLD]   Round 7 | Loss=6.4809 | Acc(G)=0.3374 | Acc(P)=0.9317 | F1(P)=0.9162 | Time=3.6s
[CLIENT-1-SCAFFOLD]   Round 8 | Loss=6.4850 | Acc(G)=0.3357 | Acc(P)=0.9326 | F1(P)=0.9172 | Time=3.6s
[CLIENT-1-SCAFFOLD]   Round 9 | Loss=6.4734 | Acc(G)=0.3380 | Acc(P)=0.9341 | F1(P)=0.9191 | Time=3.5s
[CLIENT-1-SCAFFOLD]   Round 10 | Loss=6.4811 | Acc(G)=0.3385 | Acc(P)=0.9335 | F1(P)=0.9183 | Time=3.6s
[CLIENT-1-SCAFFOLD]   Round 11 | Loss=6.4802 | Acc(G)=0.3389 | Acc(P)=0.9345 | F1(P)=0.9194 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 12 | Loss=6.4817 | Acc(G)=0.3370 | Acc(P)=0.9367 | F1(P)=0.9219 | Time=3.6s
[CLIENT-1-SCAFFOLD]   Round 13 | Loss=6.4722 | Acc(G)=0.3380 | Acc(P)=0.9371 | F1(P)=0.9224 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 14 | Loss=6.4781 | Acc(G)=0.3396 | Acc(P)=0.9366 | F1(P)=0.9220 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 15 | Loss=6.4785 | Acc(G)=0.3380 | Acc(P)=0.9375 | F1(P)=0.9229 | Time=3.8s
[CLIENT-1-SCAFFOLD]   Round 16 | Loss=6.4777 | Acc(G)=0.3389 | Acc(P)=0.9365 | F1(P)=0.9218 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 17 | Loss=6.4732 | Acc(G)=0.3392 | Acc(P)=0.9381 | F1(P)=0.9237 | Time=3.6s
[CLIENT-1-SCAFFOLD]   Round 18 | Loss=6.4712 | Acc(G)=0.3391 | Acc(P)=0.9381 | F1(P)=0.9236 | Time=3.6s
[CLIENT-1-SCAFFOLD]   Round 19 | Loss=6.4728 | Acc(G)=0.3390 | Acc(P)=0.9373 | F1(P)=0.9227 | Time=3.9s
[CLIENT-1-SCAFFOLD]   Round 20 | Loss=6.4718 | Acc(G)=0.3374 | Acc(P)=0.9381 | F1(P)=0.9236 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 21 | Loss=6.4652 | Acc(G)=0.3414 | Acc(P)=0.9353 | F1(P)=0.9204 | Time=3.5s
[CLIENT-1-SCAFFOLD]   Round 22 | Loss=6.4652 | Acc(G)=0.3423 | Acc(P)=0.9348 | F1(P)=0.9201 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 23 | Loss=6.4679 | Acc(G)=0.3379 | Acc(P)=0.9356 | F1(P)=0.9210 | Time=3.9s
[CLIENT-1-SCAFFOLD]   Round 24 | Loss=6.4610 | Acc(G)=0.3426 | Acc(P)=0.9395 | F1(P)=0.9255 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 25 | Loss=6.4678 | Acc(G)=0.3404 | Acc(P)=0.9375 | F1(P)=0.9229 | Time=3.5s
[CLIENT-1-SCAFFOLD]   Round 26 | Loss=6.4620 | Acc(G)=0.3444 | Acc(P)=0.9376 | F1(P)=0.9232 | Time=3.9s
[CLIENT-1-SCAFFOLD]   Round 27 | Loss=6.4593 | Acc(G)=0.3381 | Acc(P)=0.9377 | F1(P)=0.9233 | Time=3.8s
[CLIENT-1-SCAFFOLD]   Round 28 | Loss=6.4484 | Acc(G)=0.3446 | Acc(P)=0.9376 | F1(P)=0.9231 | Time=3.5s
[CLIENT-1-SCAFFOLD]   Round 29 | Loss=6.4560 | Acc(G)=0.3443 | Acc(P)=0.9380 | F1(P)=0.9235 | Time=3.5s
[CLIENT-1-SCAFFOLD]   Round 30 | Loss=6.4536 | Acc(G)=0.3458 | Acc(P)=0.9382 | F1(P)=0.9240 | Time=3.5s
[CLIENT-1-SCAFFOLD]   Round 31 | Loss=6.4552 | Acc(G)=0.3418 | Acc(P)=0.9379 | F1(P)=0.9236 | Time=3.7s
[CLIENT-1-SCAFFOLD]   Round 32 | Loss=6.4535 | Acc(G)=0.3425 | Acc(P)=0.9385 | F1(P)=0.9244 | Time=3.5s
[CLIENT-1-SCAFFOLD]   Round 33 | Loss=6.4525 | Acc(G)=0.3464 | Acc(P)=0.9365 | F1(P)=0.9220 | Time=3.5s
[CLIENT-1-SCAFFOLD]   Round 34 | Loss=6.4510 | Acc(G)=0.3492 | Acc(P)=0.9385 | F1(P)=0.9243 | Time=4.0s
