round,loss_supcon,loss_ce,mean_acc_local,mean_acc_pers,mean_f1_local,mean_f1_pers
1,5.7429017798105875,2.7816586112976074,0.49999074683095956,0.01525278041047457,0.0404270124627531,0.041569542892230776
2,5.369626388549804,2.868178559939066,0.14681103958351677,0.03836656134642624,0.017415924353561277,0.07533041051916621
3,5.1511550076802575,2.6711682256062828,0.5004936616353344,0.050214581691636395,0.043695588633576914,0.07316014513729889
4,5.188801539738973,2.805521729787191,0.16464360040430065,0.06999025500202855,0.019881657497991624,0.07582735883380645
5,5.089868618647257,2.6729562791188557,0.5011554666823099,0.2503728598374949,0.04356927377416131,0.07122644242450395
6,5.140583378473917,2.848885615666708,0.17070354056556097,0.43677257833036776,0.02068164413675269,0.14721707588075064
7,5.0745119285583495,2.636729744275411,0.5021531360405527,0.4507592570535005,0.04376734063505286,0.17714681887135258
8,5.123095830281575,2.799567193984986,0.1743716214999919,0.4850242580674202,0.02115008872606698,0.1596711703564435
9,5.062553876241049,2.623568886121114,0.5028448903294294,0.49795332139641785,0.04388432576143796,0.1608735859972984
10,5.10636658668518,2.7028094402949012,0.17791292544360152,0.5338139094129687,0.021597677837822335,0.17155109507659624
11,5.046267248789469,2.634490483601888,0.5033606286073269,0.5891984019105102,0.0440100506356049,0.22682543103229125
12,5.1004861577351885,2.823742863337199,0.18387989581159286,0.6497841903730752,0.022347237902676585,0.2272735232608432
13,5.04422025680542,2.6108335717519124,0.5033437250085507,0.6733447980331607,0.04425520531953108,0.2498979943451329
14,5.102044092814127,2.7406245104471845,0.1839221548085333,0.6979336728727196,0.02235177938712625,0.2751377445091474
15,5.046119235356649,2.619752868016561,0.5043290846117541,0.7379561858719721,0.044584871592402986,0.2927258751641308
16,5.101692981719971,2.8020967117945355,0.18739584435703818,0.7437994358351412,0.022780790193863955,0.3223129584625575
17,5.045236422220866,2.645182449022929,0.5048532746890398,0.7365127788104169,0.04496850872548131,0.3472353079008356
18,5.0920439815521235,2.779164328575135,0.1909117929024835,0.746215335371999,0.023209981365284196,0.28479005024483417
19,5.036150779724121,2.647130707105001,0.5049870317030783,0.7246109256013124,0.04531744204759682,0.24312367633760257
20,5.0963573773701984,2.7929622236887615,0.19308390534522257,0.7214672350865802,0.02347219129713951,0.2904693151290279
21,5.034361273447672,2.6220302136739093,0.5047564469401195,0.7851501964264594,0.045591013287848495,0.30831046364250364
22,5.089718751907348,2.7608645137151084,0.20305702862316843,0.9358348854101735,0.024650175182826993,0.3384404192326311
23,5.03945104598999,2.651380139986674,0.5054943181815879,0.9154234507869651,0.04893551379822769,0.36084429723098954
24,5.090470450719197,2.810228069623311,0.2003693564177559,0.9343716311975001,0.024337839012542863,0.34588019002107484
