[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 08:23:25
[CLIENT-1-SCAFFOLD] Run ID: 20260325_082325
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_multiclass_sslcon\logs\client_1_20260325_082325.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1389
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 35 | Loss=4.9804 | Acc(G)=0.0164 | Acc(P)=0.7357 | F1(P)=0.5500 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 36 | Loss=5.0491 | Acc(G)=0.2547 | Acc(P)=0.7706 | F1(P)=0.4824 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 37 | Loss=4.9769 | Acc(G)=0.0180 | Acc(P)=0.7313 | F1(P)=0.5199 | Time=14.3s
[CLIENT-1-SCAFFOLD]   Round 38 | Loss=5.0518 | Acc(G)=0.2547 | Acc(P)=0.7298 | F1(P)=0.5073 | Time=15.2s
[CLIENT-1-SCAFFOLD]   Round 39 | Loss=4.9721 | Acc(G)=0.0173 | Acc(P)=0.7469 | F1(P)=0.4781 | Time=14.6s
[CLIENT-1-SCAFFOLD]   Round 40 | Loss=5.0650 | Acc(G)=0.2547 | Acc(P)=0.8192 | F1(P)=0.5139 | Time=8.9s
[CLIENT-1-SCAFFOLD]   Round 41 | Loss=4.9735 | Acc(G)=0.0167 | Acc(P)=0.7668 | F1(P)=0.5013 | Time=6.3s
[CLIENT-1-SCAFFOLD]   Round 42 | Loss=5.0584 | Acc(G)=0.2547 | Acc(P)=0.7420 | F1(P)=0.4859 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 43 | Loss=4.9682 | Acc(G)=0.0173 | Acc(P)=0.7208 | F1(P)=0.5221 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 44 | Loss=5.0665 | Acc(G)=0.2547 | Acc(P)=0.7240 | F1(P)=0.4786 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 45 | Loss=4.9842 | Acc(G)=0.0176 | Acc(P)=0.8054 | F1(P)=0.5149 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 46 | Loss=5.0548 | Acc(G)=0.2547 | Acc(P)=0.7484 | F1(P)=0.4884 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 47 | Loss=4.9740 | Acc(G)=0.0173 | Acc(P)=0.7461 | F1(P)=0.4823 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 48 | Loss=5.0498 | Acc(G)=0.2547 | Acc(P)=0.7561 | F1(P)=0.5798 | Time=16.0s
