round,loss_supcon,loss_ce,mean_acc_local,mean_acc_pers,mean_f1_local,mean_f1_pers
1,5.770180794397991,0.6791366962591807,0.39724928744284094,0.39327332777157853,0.29747841351643606,0.3235243889055553
2,5.429653437932332,0.6604442393779755,0.46848829853285834,0.6798963161127507,0.36965403529809726,0.6004415772096033
3,5.1897796026865635,0.6318740300337474,0.5635931736389459,0.7415023526014684,0.5006389570837859,0.6337495128542552
4,5.263037497202555,0.6355652836958567,0.5747144226478239,0.873737089369732,0.49916926965590547,0.6948961336033674
5,5.134377826054891,0.6206238627433777,0.6500044360643422,0.937075788387386,0.5513954298301829,0.7376834204080553
6,5.20902984937032,0.6174783837795257,0.6339388150341524,0.9495230812217859,0.5518005184845513,0.757225504602482
7,5.105639543533325,0.6088324677944184,0.671874188057803,0.9577898554266472,0.5594574078179088,0.7957397110309046
8,5.180890769958497,0.6077595583597819,0.6662739456462895,0.9538904538411719,0.5655679465012791,0.7773637578719079
9,5.084043560028077,0.5959972953796386,0.7455237728505684,0.9527072019268394,0.6053448452392346,0.7703185631093974
10,5.161030371983846,0.6068407396475474,0.6986714996802675,0.9599777567224398,0.5847948727105585,0.8004450750498964
11,5.067276573181152,0.590480752189954,0.7811853499125552,0.9603579091796797,0.6277953375293382,0.8075255811411216
12,5.143329633076986,0.5960800172885259,0.7337868973311612,0.9611734969070358,0.5992860916049563,0.8064212271632578
13,5.0698658307393405,0.5829456110795339,0.751687760883045,0.9614557068696328,0.6006564825393811,0.804134461881324
14,5.13743977546692,0.5929067182540894,0.7061402960220207,0.9639651553998101,0.5705614291096203,0.8292540837251132
15,5.060237401326497,0.5835305265585582,0.7539629452098361,0.9628002788604245,0.6018504549906002,0.8219394293450996
16,5.128014777501424,0.5930128928025562,0.6811844889858585,0.9633672853075119,0.5440689640381822,0.8294673742166203
17,5.062618761062622,0.57596777399381,0.7556040660672965,0.9622658081771316,0.6024001191141096,0.8298698935170159
18,5.127187445958455,0.5892670553922654,0.6683158043388204,0.9640142159047436,0.5251567153205207,0.8341403718466507
19,5.052451728185018,0.575688789288203,0.7566105660825646,0.9638196460035934,0.6027773236401769,0.838125809134505
20,5.123581609725951,0.5881782201925914,0.6513459023579597,0.9622369518537643,0.5079961072386419,0.8150497195321523
21,5.056274239222208,0.5733743552366892,0.7574908464798726,0.963088197412481,0.6027598280444805,0.8268544440135133
22,5.123995513916015,0.5824441699186962,0.6433381428296971,0.963825533108277,0.4979396517690535,0.8482806487758219
23,5.042173938751221,0.5715961251656214,0.7578142225208764,0.9631317496703682,0.6026798354266908,0.8406911080904562
24,5.114769684473673,0.5830975874265034,0.6208869901375624,0.9662686386771071,0.47170956457747426,0.8690393553267657
25,5.048533398310344,0.5652739236752191,0.7616735727736674,0.9652011472595033,0.6043313294816417,0.8658572191387891
26,5.117651335398357,0.5742601899305979,0.6063293082531324,0.965966024190531,0.4556135865904445,0.8568987804425827
27,5.049676243464152,0.5661996873219808,0.7619478883097377,0.9703476920596108,0.6045349465859524,0.8781733281173504
28,5.115871861775716,0.5761356683572134,0.6050103138301071,0.9692831223671596,0.45275487238471335,0.8381750803360558
29,5.043511409759521,0.562729496161143,0.7611499400692432,0.9646058418619099,0.603530841957576,0.8470413769894847
30,5.112270148595174,0.5710313576459884,0.5996975199065444,0.9705022106280767,0.4455061743258727,0.8767569866310554
31,5.0472709051767985,0.559551762541135,0.7601337168208291,0.9691862946182392,0.6024799727729488,0.8366604512314864
