[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 07:11:27
[CLIENT-1-SCAFFOLD] Run ID: 20260325_071127
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_binary_sslcon\logs\client_1_20260325_071127.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 35 | Loss=4.8374 | Acc(G)=0.6097 | Acc(P)=0.9498 | F1(P)=0.9373 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 36 | Loss=4.8972 | Acc(G)=0.4260 | Acc(P)=0.9489 | F1(P)=0.9360 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 37 | Loss=4.8533 | Acc(G)=0.5715 | Acc(P)=0.9485 | F1(P)=0.9357 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 38 | Loss=4.9030 | Acc(G)=0.4174 | Acc(P)=0.9477 | F1(P)=0.9345 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 39 | Loss=4.8427 | Acc(G)=0.5144 | Acc(P)=0.9485 | F1(P)=0.9356 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 40 | Loss=4.9203 | Acc(G)=0.4119 | Acc(P)=0.9479 | F1(P)=0.9347 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 41 | Loss=4.8358 | Acc(G)=0.4951 | Acc(P)=0.9491 | F1(P)=0.9364 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 42 | Loss=4.9233 | Acc(G)=0.4074 | Acc(P)=0.9485 | F1(P)=0.9357 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 43 | Loss=4.8391 | Acc(G)=0.4664 | Acc(P)=0.9471 | F1(P)=0.9337 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 44 | Loss=4.8991 | Acc(G)=0.4078 | Acc(P)=0.9475 | F1(P)=0.9342 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 45 | Loss=4.8345 | Acc(G)=0.4447 | Acc(P)=0.9492 | F1(P)=0.9365 | Time=5.8s
