[CLIENT-0-SCAFFOLD] Run started at: 2026-03-25 10:49:11
[CLIENT-0-SCAFFOLD] Run ID: 20260325_104911
[CLIENT-0-SCAFFOLD] Log file: results\scaffold_multiclass_supcon\logs\client_0_20260325_104911.log
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] FeCoGraph SCAFFOLD Client 0
[CLIENT-0-SCAFFOLD] Contrastive mode: supcon
[CLIENT-0-SCAFFOLD] Device: cpu
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] Train: 25,353 | Test: 59,159 | Labeled: 7602
[CLIENT-0-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-0-SCAFFOLD] Connected and registered.
[CLIENT-0-SCAFFOLD]   Round 1 | Loss=6.6342 | Acc(G)=0.2810 | Acc(P)=0.0023 | F1(P)=0.0503 | Time=37.9s
[CLIENT-0-SCAFFOLD]   Round 2 | Loss=6.7766 | Acc(G)=0.0130 | Acc(P)=0.0024 | F1(P)=0.0066 | Time=45.4s
[CLIENT-0-SCAFFOLD]   Round 3 | Loss=6.6181 | Acc(G)=0.3503 | Acc(P)=0.0059 | F1(P)=0.0016 | Time=40.2s
[CLIENT-0-SCAFFOLD]   Round 4 | Loss=6.7487 | Acc(G)=0.0129 | Acc(P)=0.0135 | F1(P)=0.0026 | Time=40.3s
[CLIENT-0-SCAFFOLD]   Round 5 | Loss=6.6179 | Acc(G)=0.3515 | Acc(P)=0.3847 | F1(P)=0.0441 | Time=40.3s
[CLIENT-0-SCAFFOLD]   Round 6 | Loss=6.7455 | Acc(G)=0.0126 | Acc(P)=0.8213 | F1(P)=0.0737 | Time=40.2s
[CLIENT-0-SCAFFOLD]   Round 7 | Loss=6.6175 | Acc(G)=0.3559 | Acc(P)=0.8423 | F1(P)=0.0822 | Time=37.0s
[CLIENT-0-SCAFFOLD]   Round 8 | Loss=6.7444 | Acc(G)=0.0122 | Acc(P)=0.8618 | F1(P)=0.0999 | Time=36.3s
[CLIENT-0-SCAFFOLD]   Round 9 | Loss=6.6179 | Acc(G)=0.3552 | Acc(P)=0.8840 | F1(P)=0.1004 | Time=39.0s
[CLIENT-0-SCAFFOLD]   Round 10 | Loss=6.7419 | Acc(G)=0.0125 | Acc(P)=0.9166 | F1(P)=0.0990 | Time=39.6s
[CLIENT-0-SCAFFOLD]   Round 11 | Loss=6.6184 | Acc(G)=0.3512 | Acc(P)=0.9473 | F1(P)=0.0961 | Time=39.0s
[CLIENT-0-SCAFFOLD]   Round 12 | Loss=6.7390 | Acc(G)=0.0122 | Acc(P)=0.9673 | F1(P)=0.1444 | Time=39.4s
[CLIENT-0-SCAFFOLD]   Round 13 | Loss=6.6176 | Acc(G)=0.3517 | Acc(P)=0.9696 | F1(P)=0.1021 | Time=39.9s
[CLIENT-0-SCAFFOLD]   Round 14 | Loss=6.7353 | Acc(G)=0.0124 | Acc(P)=0.9816 | F1(P)=0.1108 | Time=40.2s
[CLIENT-0-SCAFFOLD]   Round 15 | Loss=6.6176 | Acc(G)=0.3534 | Acc(P)=0.9793 | F1(P)=0.1086 | Time=40.0s
[CLIENT-0-SCAFFOLD]   Round 16 | Loss=6.7372 | Acc(G)=0.0121 | Acc(P)=0.9786 | F1(P)=0.1442 | Time=40.2s
[CLIENT-0-SCAFFOLD]   Round 17 | Loss=6.6183 | Acc(G)=0.3562 | Acc(P)=0.9782 | F1(P)=0.1891 | Time=40.3s
[CLIENT-0-SCAFFOLD]   Round 18 | Loss=6.7343 | Acc(G)=0.0125 | Acc(P)=0.9815 | F1(P)=0.1728 | Time=39.7s
[CLIENT-0-SCAFFOLD]   Round 19 | Loss=6.6168 | Acc(G)=0.3551 | Acc(P)=0.9770 | F1(P)=0.1824 | Time=40.6s
[CLIENT-0-SCAFFOLD]   Round 20 | Loss=6.7313 | Acc(G)=0.0125 | Acc(P)=0.9823 | F1(P)=0.1912 | Time=40.2s
[CLIENT-0-SCAFFOLD]   Round 21 | Loss=6.6170 | Acc(G)=0.3564 | Acc(P)=0.9783 | F1(P)=0.1759 | Time=40.4s
[CLIENT-0-SCAFFOLD]   Round 22 | Loss=6.7302 | Acc(G)=0.0115 | Acc(P)=0.9810 | F1(P)=0.1915 | Time=40.5s
[CLIENT-0-SCAFFOLD]   Round 23 | Loss=6.6189 | Acc(G)=0.3528 | Acc(P)=0.9849 | F1(P)=0.1645 | Time=40.7s
[CLIENT-0-SCAFFOLD]   Round 24 | Loss=6.7293 | Acc(G)=0.0126 | Acc(P)=0.9779 | F1(P)=0.2067 | Time=41.0s
[CLIENT-0-SCAFFOLD]   Round 25 | Loss=6.6191 | Acc(G)=0.3507 | Acc(P)=0.9848 | F1(P)=0.1775 | Time=40.6s
[CLIENT-0-SCAFFOLD]   Round 26 | Loss=6.7273 | Acc(G)=0.0126 | Acc(P)=0.9892 | F1(P)=0.2004 | Time=40.4s
[CLIENT-0-SCAFFOLD]   Round 27 | Loss=6.6176 | Acc(G)=0.3559 | Acc(P)=0.9896 | F1(P)=0.2035 | Time=40.8s
[CLIENT-0-SCAFFOLD]   Round 28 | Loss=6.7272 | Acc(G)=0.0124 | Acc(P)=0.9900 | F1(P)=0.2487 | Time=40.9s
[CLIENT-0-SCAFFOLD]   Round 29 | Loss=6.6182 | Acc(G)=0.3529 | Acc(P)=0.9846 | F1(P)=0.2523 | Time=40.9s
[CLIENT-0-SCAFFOLD]   Round 30 | Loss=6.7249 | Acc(G)=0.0127 | Acc(P)=0.9901 | F1(P)=0.2493 | Time=40.8s
[CLIENT-0-SCAFFOLD]   Round 31 | Loss=6.6165 | Acc(G)=0.3549 | Acc(P)=0.9875 | F1(P)=0.2157 | Time=41.1s
[CLIENT-0-SCAFFOLD]   Round 32 | Loss=6.7202 | Acc(G)=0.0135 | Acc(P)=0.9897 | F1(P)=0.2163 | Time=40.7s
[CLIENT-0-SCAFFOLD]   Round 33 | Loss=6.6190 | Acc(G)=0.3556 | Acc(P)=0.9886 | F1(P)=0.2584 | Time=40.9s
[CLIENT-0-SCAFFOLD]   Round 34 | Loss=6.7221 | Acc(G)=0.0127 | Acc(P)=0.9916 | F1(P)=0.2471 | Time=41.2s
[CLIENT-0-SCAFFOLD]   Round 35 | Loss=6.6177 | Acc(G)=0.3578 | Acc(P)=0.9882 | F1(P)=0.2327 | Time=40.7s
[CLIENT-0-SCAFFOLD]   Round 36 | Loss=6.7190 | Acc(G)=0.0127 | Acc(P)=0.9909 | F1(P)=0.2627 | Time=41.6s
[CLIENT-0-SCAFFOLD]   Round 37 | Loss=6.6167 | Acc(G)=0.3512 | Acc(P)=0.9856 | F1(P)=0.1941 | Time=41.3s
[CLIENT-0-SCAFFOLD]   Round 38 | Loss=6.7181 | Acc(G)=0.0132 | Acc(P)=0.9852 | F1(P)=0.2155 | Time=41.5s
