[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 10:49:13
[CLIENT-1-SCAFFOLD] Run ID: 20260325_104913
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_multiclass_supcon\logs\client_1_20260325_104913.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: supcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1389
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 35 | Loss=5.7477 | Acc(G)=0.0178 | Acc(P)=0.7307 | F1(P)=0.4613 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 36 | Loss=6.2973 | Acc(G)=0.1417 | Acc(P)=0.7485 | F1(P)=0.4601 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 37 | Loss=5.7552 | Acc(G)=0.0182 | Acc(P)=0.7306 | F1(P)=0.4536 | Time=6.4s
[CLIENT-1-SCAFFOLD]   Round 38 | Loss=6.2947 | Acc(G)=0.1437 | Acc(P)=0.7393 | F1(P)=0.4650 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 39 | Loss=5.7474 | Acc(G)=0.0176 | Acc(P)=0.7456 | F1(P)=0.4877 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 40 | Loss=6.2992 | Acc(G)=0.1433 | Acc(P)=0.7773 | F1(P)=0.4965 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 41 | Loss=5.7460 | Acc(G)=0.0187 | Acc(P)=0.7401 | F1(P)=0.5215 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 42 | Loss=6.3112 | Acc(G)=0.1428 | Acc(P)=0.7629 | F1(P)=0.5558 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 43 | Loss=5.7575 | Acc(G)=0.0184 | Acc(P)=0.7084 | F1(P)=0.5160 | Time=6.4s
[CLIENT-1-SCAFFOLD]   Round 44 | Loss=6.3048 | Acc(G)=0.1435 | Acc(P)=0.6599 | F1(P)=0.4214 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 45 | Loss=5.7642 | Acc(G)=0.0186 | Acc(P)=0.8030 | F1(P)=0.5011 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 46 | Loss=6.3239 | Acc(G)=0.1416 | Acc(P)=0.7493 | F1(P)=0.4642 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 47 | Loss=5.7516 | Acc(G)=0.0182 | Acc(P)=0.7076 | F1(P)=0.4343 | Time=6.3s
[CLIENT-1-SCAFFOLD]   Round 48 | Loss=6.3209 | Acc(G)=0.1436 | Acc(P)=0.6609 | F1(P)=0.4470 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 49 | Loss=5.7501 | Acc(G)=0.0184 | Acc(P)=0.7730 | F1(P)=0.5226 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 50 | Loss=6.3238 | Acc(G)=0.1421 | Acc(P)=0.7676 | F1(P)=0.4802 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 51 | Loss=5.7718 | Acc(G)=0.0182 | Acc(P)=0.7479 | F1(P)=0.5102 | Time=6.3s
[CLIENT-1-SCAFFOLD]   Round 52 | Loss=6.3244 | Acc(G)=0.1414 | Acc(P)=0.6133 | F1(P)=0.3864 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 53 | Loss=5.7635 | Acc(G)=0.0180 | Acc(P)=0.7314 | F1(P)=0.4603 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 54 | Loss=6.3196 | Acc(G)=0.1439 | Acc(P)=0.6823 | F1(P)=0.4342 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 55 | Loss=5.7728 | Acc(G)=0.0185 | Acc(P)=0.8244 | F1(P)=0.5138 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 56 | Loss=6.3261 | Acc(G)=0.1472 | Acc(P)=0.7914 | F1(P)=0.4818 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 57 | Loss=5.7658 | Acc(G)=0.0184 | Acc(P)=0.7788 | F1(P)=0.5043 | Time=7.1s
[CLIENT-1-SCAFFOLD]   Round 58 | Loss=6.3214 | Acc(G)=0.1466 | Acc(P)=0.7898 | F1(P)=0.5132 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 59 | Loss=5.7590 | Acc(G)=0.0188 | Acc(P)=0.7510 | F1(P)=0.5033 | Time=7.3s
[CLIENT-1-SCAFFOLD]   Round 60 | Loss=6.3301 | Acc(G)=0.1427 | Acc(P)=0.7267 | F1(P)=0.4578 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 61 | Loss=5.7699 | Acc(G)=0.0178 | Acc(P)=0.7873 | F1(P)=0.5205 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 62 | Loss=6.3261 | Acc(G)=0.1423 | Acc(P)=0.7622 | F1(P)=0.4832 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 63 | Loss=5.7696 | Acc(G)=0.0181 | Acc(P)=0.7673 | F1(P)=0.5403 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 64 | Loss=6.3169 | Acc(G)=0.1447 | Acc(P)=0.7604 | F1(P)=0.4750 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 65 | Loss=5.7753 | Acc(G)=0.0184 | Acc(P)=0.7649 | F1(P)=0.5538 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 66 | Loss=6.3185 | Acc(G)=0.1409 | Acc(P)=0.7702 | F1(P)=0.4943 | Time=6.9s
[CLIENT-1-SCAFFOLD]   Round 67 | Loss=5.7741 | Acc(G)=0.0184 | Acc(P)=0.8011 | F1(P)=0.5485 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 68 | Loss=6.3333 | Acc(G)=0.1455 | Acc(P)=0.7865 | F1(P)=0.5317 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 69 | Loss=5.7742 | Acc(G)=0.0181 | Acc(P)=0.7714 | F1(P)=0.4959 | Time=6.7s
