[CLIENT-1-SCAFFOLD] Run started at: 2026-03-23 10:04:16
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: supcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 36 | Loss=6.3452 | Acc(G)=0.7951 | Acc(P)=0.9494 | F1(P)=0.9368 | Time=15.4s
[CLIENT-1-SCAFFOLD]   Round 37 | Loss=6.2167 | Acc(G)=0.8904 | Acc(P)=0.9498 | F1(P)=0.9374 | Time=12.7s
[CLIENT-1-SCAFFOLD]   Round 38 | Loss=6.3441 | Acc(G)=0.7880 | Acc(P)=0.9495 | F1(P)=0.9370 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 39 | Loss=6.2195 | Acc(G)=0.8893 | Acc(P)=0.9420 | F1(P)=0.9282 | Time=6.4s
[CLIENT-1-SCAFFOLD]   Round 40 | Loss=6.3458 | Acc(G)=0.7845 | Acc(P)=0.9493 | F1(P)=0.9367 | Time=8.3s
[CLIENT-1-SCAFFOLD]   Round 41 | Loss=6.2178 | Acc(G)=0.8865 | Acc(P)=0.9492 | F1(P)=0.9365 | Time=13.6s
[CLIENT-1-SCAFFOLD]   Round 42 | Loss=6.3453 | Acc(G)=0.7824 | Acc(P)=0.9505 | F1(P)=0.9382 | Time=13.7s
[CLIENT-1-SCAFFOLD]   Round 43 | Loss=6.2195 | Acc(G)=0.8862 | Acc(P)=0.9496 | F1(P)=0.9371 | Time=14.8s
[CLIENT-1-SCAFFOLD]   Round 44 | Loss=6.3449 | Acc(G)=0.7666 | Acc(P)=0.9490 | F1(P)=0.9363 | Time=14.3s
[CLIENT-1-SCAFFOLD]   Round 45 | Loss=6.2204 | Acc(G)=0.8866 | Acc(P)=0.9499 | F1(P)=0.9376 | Time=13.9s
[CLIENT-1-SCAFFOLD]   Round 46 | Loss=6.3466 | Acc(G)=0.7641 | Acc(P)=0.9507 | F1(P)=0.9385 | Time=19.1s
[CLIENT-1-SCAFFOLD]   Round 47 | Loss=6.2163 | Acc(G)=0.8600 | Acc(P)=0.9495 | F1(P)=0.9373 | Time=14.3s
[CLIENT-1-SCAFFOLD]   Round 48 | Loss=6.3448 | Acc(G)=0.7613 | Acc(P)=0.9507 | F1(P)=0.9385 | Time=14.1s
[CLIENT-1-SCAFFOLD]   Round 49 | Loss=6.2196 | Acc(G)=0.8598 | Acc(P)=0.9491 | F1(P)=0.9364 | Time=13.9s
[CLIENT-1-SCAFFOLD]   Round 50 | Loss=6.3453 | Acc(G)=0.7582 | Acc(P)=0.9493 | F1(P)=0.9367 | Time=14.0s
[CLIENT-1-SCAFFOLD]   Round 51 | Loss=6.2176 | Acc(G)=0.8604 | Acc(P)=0.9503 | F1(P)=0.9380 | Time=14.0s
[CLIENT-1-SCAFFOLD]   Round 52 | Loss=6.3455 | Acc(G)=0.7558 | Acc(P)=0.9496 | F1(P)=0.9371 | Time=13.5s
[CLIENT-1-SCAFFOLD]   Round 53 | Loss=6.2195 | Acc(G)=0.8468 | Acc(P)=0.9501 | F1(P)=0.9377 | Time=14.6s
[CLIENT-1-SCAFFOLD]   Round 54 | Loss=6.3452 | Acc(G)=0.7514 | Acc(P)=0.9495 | F1(P)=0.9370 | Time=13.9s
[CLIENT-1-SCAFFOLD]   Round 55 | Loss=6.2190 | Acc(G)=0.7956 | Acc(P)=0.9394 | F1(P)=0.9252 | Time=11.2s
[CLIENT-1-SCAFFOLD]   Round 56 | Loss=6.3464 | Acc(G)=0.7489 | Acc(P)=0.9565 | F1(P)=0.9452 | Time=14.8s
[CLIENT-1-SCAFFOLD]   Round 57 | Loss=6.2175 | Acc(G)=0.7957 | Acc(P)=0.9604 | F1(P)=0.9500 | Time=15.2s
[CLIENT-1-SCAFFOLD]   Round 58 | Loss=6.3455 | Acc(G)=0.7479 | Acc(P)=0.9570 | F1(P)=0.9459 | Time=15.1s
[CLIENT-1-SCAFFOLD]   Round 59 | Loss=6.2172 | Acc(G)=0.7961 | Acc(P)=0.9494 | F1(P)=0.9368 | Time=5.2s
[CLIENT-1-SCAFFOLD]   Round 60 | Loss=6.3457 | Acc(G)=0.7465 | Acc(P)=0.9499 | F1(P)=0.9375 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 61 | Loss=6.2180 | Acc(G)=0.7969 | Acc(P)=0.9495 | F1(P)=0.9370 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 62 | Loss=6.3461 | Acc(G)=0.7466 | Acc(P)=0.9492 | F1(P)=0.9366 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 63 | Loss=6.2205 | Acc(G)=0.7959 | Acc(P)=0.9500 | F1(P)=0.9376 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 64 | Loss=6.3458 | Acc(G)=0.7491 | Acc(P)=0.9555 | F1(P)=0.9441 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 65 | Loss=6.2249 | Acc(G)=0.7958 | Acc(P)=0.9505 | F1(P)=0.9381 | Time=6.3s
[CLIENT-1-SCAFFOLD]   Round 66 | Loss=6.3456 | Acc(G)=0.7466 | Acc(P)=0.9488 | F1(P)=0.9362 | Time=7.0s
