round,loss_supcon,loss_ce,mean_acc_local,mean_acc_pers,mean_f1_local,mean_f1_pers
1,6.826369905471802,0.6846468875805537,0.39860340415155443,0.4030775062682308,0.30315582040174116,0.3435188329612484
2,6.86446662902832,0.6485889506340027,0.39098159297874713,0.6632725629468768,0.26810251773334687,0.5905077152581608
3,6.778861993153891,0.606347287495931,0.4670732714942254,0.7577591992956404,0.44403352456787676,0.6409065670468095
4,6.8612864112854,0.6333157161871592,0.46303759809072464,0.9053462617083263,0.38319265790254986,0.7109033728429002
5,6.779138889312744,0.5961076003313064,0.49468409804063596,0.9450959886338219,0.4762733965538031,0.750860233232673
6,6.862611379623413,0.6256130983432133,0.5128594221234881,0.9538467230680606,0.4528537074873674,0.7708346381430702
7,6.779779119491577,0.5961980221668879,0.5165402072614449,0.9584937409553391,0.4988790231441036,0.799253948553122
8,6.861474806467692,0.6242452263832092,0.5172169623737833,0.9556693681835462,0.47046917550065653,0.7837094689003345
9,6.7777271111806225,0.5884361513455709,0.5232367755867406,0.9561856420071162,0.5052220957820552,0.7768009593524756
10,6.861221348444621,0.6254308652877807,0.5256779057949686,0.9612681169916999,0.48005406492319996,0.8089407308670648
11,6.781346139907837,0.5875051021575928,0.5238178075618295,0.9621026374668644,0.5041185968860273,0.8100645680217706
12,6.860865418116251,0.624584098259608,0.5317668371404426,0.9625853044352951,0.4875674665083034,0.8111421299633896
13,6.781313460667929,0.5869190186262131,0.5359580705811404,0.9629088589915229,0.5144133229594083,0.812365089322063
14,6.860341374079387,0.6220422687133154,0.5390667838050827,0.9650517580804464,0.4942361085209827,0.8384220983591562
15,6.780307477315267,0.587445688645045,0.5449347741074122,0.9616761895418087,0.5228920584539771,0.8105550260568877
16,6.860832195281983,0.6210612511634827,0.5439280184022162,0.9628388584169378,0.49909654167476897,0.8177136569894201
17,6.7814479796091724,0.5856079492966335,0.5633872380086795,0.963978379558159,0.5375202451698151,0.8284157488563568
18,6.860205609003702,0.6224856142203012,0.549402554914253,0.9700639884936539,0.5049392880051515,0.845070162179439
19,6.780358454386393,0.5821153451999028,0.5837937178599903,0.9652827217010425,0.5530447001510578,0.8603620695342157
