round,loss_supcon,loss_ce,mean_acc_local,mean_acc_pers,mean_f1_local,mean_f1_pers
1,6.820415376027427,0.6556390408674877,0.6951959337730533,0.910036820160355,0.5717654349339576,0.7446225068285861
2,6.7611343224843345,0.5701166693369548,0.8635591592390068,0.9447004004562642,0.6858518942705367,0.8081607154441948
3,6.753103116353353,0.47935117801030475,0.9320534340562066,0.9419612597392488,0.7302612981567191,0.7734664718107669
4,6.740398190816244,0.40928115000327425,0.9504976246733097,0.9490398568804939,0.7662564079106566,0.7584538064270964
5,6.734541301727296,0.3523278173804283,0.9552732483580286,0.9522247134736328,0.7842432515641076,0.7682120126698815
6,6.7256054623921715,0.3136918823917707,0.9584514819583986,0.9459426403488018,0.7992906251015248,0.7512407315835676
7,6.721332810719807,0.28809246207276973,0.9621066957649288,0.9527542332827408,0.829667891763072,0.7692014050962721
8,6.714627831776937,0.2682133970161279,0.9628265704890873,0.9533274838649599,0.8420694504794899,0.7708912311395423
9,6.708173335393269,0.25223400806387264,0.9630163680312767,0.9514052459634363,0.8443937601759308,0.763296204716449
10,6.702575095494588,0.23926838959256808,0.9694078920361378,0.9551255094703667,0.8647792576052965,0.7775147218306486
11,6.698041632970174,0.2295586267610391,0.9704661957662681,0.9564704384916067,0.8703190600625104,0.7804997826743493
12,6.691433766682943,0.2234865994254748,0.9731382358066623,0.9609686245726896,0.9023644203417351,0.8033008238826459
13,6.692843116124471,0.20888982119659583,0.9716205913572333,0.9600275531154587,0.8757698715604072,0.8079177793847354
14,6.6842413361867274,0.20086616608003777,0.9735354703779024,0.959579585920701,0.9146479498968973,0.7920350279401812
15,6.68090859413147,0.18549497827887534,0.9724898334332598,0.9639960190450206,0.8805135531461564,0.8298715863339399
16,6.6837876001993815,0.17878714434802534,0.9738382633797028,0.9664815839532044,0.9191908244301953,0.8719683907178166
17,6.684155378341675,0.17243192670245966,0.9743262600799556,0.9620059882331682,0.9270263765510943,0.8096722775457442
18,6.678659915924072,0.1653692864129941,0.9740326547656288,0.9625077664646313,0.926048794810461,0.8132319806067309
19,6.678527339299519,0.15679243616759778,0.9740449645206684,0.9645808434941938,0.9248726886878761,0.8333818122437451
20,6.677470337549845,0.151575620410343,0.9778350064325817,0.9685527666945808,0.929668401156923,0.8239854008455497
21,6.677994791666666,0.14734461277723312,0.9747512362288406,0.9703667814954542,0.9360326406264021,0.8472843539892047
22,6.676157039006551,0.14217032060027124,0.9780494234848498,0.9718651361666266,0.9326363397313568,0.8687412230651342
23,6.674165474573771,0.13610394194722175,0.9784075211267156,0.971812775078903,0.941318916646272,0.8740798052497549
24,6.6750125821431485,0.13164070241153242,0.9785197806982411,0.9731782871393464,0.9369418296989349,0.8959957776131456
25,6.673325141270956,0.12642640702426433,0.9794505715494647,0.9710175700483372,0.9383487183707263,0.8574999548194142
26,6.672699092229207,0.12547975096851588,0.9799624518717109,0.9705257153924329,0.9408918202878265,0.8542674932528975
27,6.675696725845336,0.11958197222401698,0.9800884929744469,0.9736767647880196,0.9423400130686708,0.927376486740306
28,6.667664883931478,0.11381678438434997,0.9799132128515533,0.9694885302471783,0.9461236676812856,0.8367772892045198
29,6.6736561457316075,0.11312058872232836,0.9801061324613085,0.9742939246585742,0.9479284850518637,0.9322039573888738
30,6.666309839884441,0.10673777380337317,0.9796995316873706,0.9699142422841487,0.946512277344902,0.8406008263280838
31,6.675444819132487,0.11211941823363303,0.979389758662353,0.9742011333805294,0.948531769241372,0.9116911918560615
32,6.669978049596151,0.10407465023299059,0.9801261581276506,0.973674178266126,0.942068752470389,0.8875748439897034
33,6.670393285751342,0.09784347436080376,0.9795020182338787,0.9726671208779964,0.94388815337427,0.8553102430280214
34,6.668861700693768,0.09996597295627,0.9799639236478818,0.9750018466581416,0.9482044862036896,0.9301160710836645
35,6.665627848307292,0.09266833119094373,0.9799554718484937,0.9778904895878711,0.9478479411210492,0.9161422669324335
36,6.66407143274943,0.08971820792804161,0.9798639738313957,0.9775042715107236,0.9526275029996094,0.8869431003255377
37,6.666626183191935,0.08913122307509184,0.9804680880588255,0.9789487933180014,0.9554568862400492,0.9246126560908898
38,6.6643678855896,0.08366800556580226,0.9801706247888473,0.9795780844283715,0.9561449888306561,0.9468703130748353
39,6.664635092417399,0.08611608373622101,0.9799822990228289,0.9794660033720699,0.9576163659782617,0.932050261322077
40,6.669984750747681,0.07695342250789206,0.9802251935408272,0.9787106711589642,0.9565447549613215,0.9113109855674965
