round,loss_supcon,loss_ce,mean_acc_local,mean_acc_pers,mean_f1_local,mean_f1_pers
1,6.820466553370158,0.6558808545271556,0.6935004663332152,0.9099530380545596,0.5690260143309949,0.7445867121072592
2,6.761185461680094,0.5710352402925492,0.8742982741937029,0.9446496896599358,0.6905310266537803,0.8074168724297257
3,6.752686109542847,0.48074039260546364,0.9331391223335332,0.9416323754511988,0.7315055142643052,0.771894488442652
4,6.7402040417989095,0.4105243980884552,0.9510953162503837,0.9487863028988512,0.769115666741973,0.7577623922293865
5,6.734166412353516,0.3538564149538676,0.9559486564209905,0.9521855765442582,0.7877123168986988,0.767741839545911
6,6.725232661565144,0.315199457903703,0.9588994273259673,0.945938046505065,0.8027434374884201,0.751182359505969
7,6.720940243403116,0.28976717591285706,0.9620912639423236,0.9529739800668311,0.8316515708575036,0.7700170788521901
8,6.714364897410075,0.2698060285051664,0.9630970280695061,0.9531883971190992,0.8463787848893523,0.7704853379014261
9,6.7080249468485516,0.25419813459118207,0.9631185255120192,0.9513253218132922,0.8474573964368088,0.7631328571155012
10,6.702800299326579,0.24223416700959205,0.9709031246397442,0.9547451784979026,0.8978139088360508,0.7758336261376411
11,6.6979982407887775,0.23290760283668838,0.9704331244568012,0.9556620093026917,0.8714915098185009,0.7780638061186745
12,6.691612326304117,0.2275708927710851,0.9731136162965834,0.9604315673675031,0.9042384245013027,0.7990735074980184
13,6.6927920436859125,0.21350021091600258,0.9725131815095808,0.9599729843634789,0.9164731306228899,0.8077993508966319
14,6.683661193847657,0.20560944544772308,0.9736960545662762,0.9590232389372579,0.9201087456048597,0.7896467978734663
15,6.681657978693643,0.19060417162875337,0.9725120667638582,0.9639875672456326,0.8840560560952746,0.8297681238450523
16,6.682881603240967,0.18275913757582504,0.974258645684851,0.9666168127434138,0.9245781162035033,0.8750206416550201
17,6.682759154637655,0.1759486267218987,0.9744783924689413,0.962085176495227,0.9327813419733624,0.8093152025881495
18,6.677618557612101,0.16882256835699083,0.9742393559065944,0.9620905062270491,0.932163318884985,0.8103403101136073
19,6.676754430135091,0.1591060130049785,0.9743562093218567,0.9639284046499159,0.9298108684943711,0.8288631471047059
20,6.67557282447815,0.1554313310608268,0.9743385698349951,0.9684221317481081,0.9258242716378358,0.8233216658600265
21,6.676215518315633,0.1511281044781208,0.9746375048811441,0.9699932520309833,0.9320299938132013,0.8458807870974316
22,6.6755178324381514,0.14501349173486233,0.9744161078056588,0.9717282570850221,0.9355966949732508,0.8720869268784566
23,6.6738677469889325,0.14122101875642937,0.9784075211267156,0.9719856690223161,0.9413353518132217,0.8768215683763319
24,6.674101292292277,0.1322405392304063,0.9785205165863265,0.9729438444207361,0.9404996216544795,0.8968088092912571
25,6.673300425211588,0.1289436887204647,0.9784867093887741,0.9709383817862784,0.9391411599953537,0.8585485916042743
26,6.673073870340982,0.1265418447057406,0.9785873950933458,0.9701591659511792,0.93956923791475,0.8507220664364488
27,6.674576152165731,0.12066650285075108,0.9785458719844908,0.9735130585320799,0.9414790164542972,0.9262852591352814
28,6.667751607894898,0.11567953567951919,0.9785381560731882,0.9694462712502379,0.9448295149521245,0.8362760486233144
29,6.674256731669108,0.11245574812094371,0.9787272177272921,0.9732793517015552,0.9482771905716865,0.9309276462983376
30,6.667663462956746,0.10598112091422082,0.9786011766245561,0.9695991395273089,0.9455899731057753,0.8392434218122451
31,6.67528805732727,0.11149109038213889,0.9785596535157011,0.972946787973078,0.9476222977608673,0.9070479456956468
32,6.6723659706115725,0.10498474980394046,0.9802821484722875,0.9716804898410354,0.946604132688724,0.8788604544303749
33,6.670226570765177,0.09792926783363023,0.9782199312487825,0.9705749544125906,0.9464448976078983,0.8525022176624739
34,6.669545694986979,0.09958434248963992,0.9798924512971258,0.974868089644103,0.9470721073237207,0.9318739225200234
35,6.6664714336395265,0.0930001728857557,0.9799009030965138,0.9775171386386243,0.9474264075446748,0.8999679269111334
36,6.664965750376384,0.0906528649230798,0.9791806713419071,0.9770555902550694,0.952064844791728,0.87560087150317
37,6.66607211748759,0.08918669231235982,0.980208289942051,0.9789579810054749,0.9558315931516778,0.9280249480364271
38,6.666831601460774,0.08435533403108517,0.9783674697940314,0.9791799354538216,0.9518503738870925,0.9470651610387626
39,6.665159565607707,0.08642492145920794,0.9798024250561985,0.9783264822308487,0.9595656104973962,0.9018483938994121
40,6.669058764775594,0.08031241527448096,0.9798939230732966,0.9783748068476967,0.9557690417456566,0.9092099391944257
